0	-19	-4	-17	3	12	26	-48	12	4
5	-34	-22	25	60	20	42	-2	43	31
10	51	71	141	55	97	69	46	63	39
15	169	263	283	171	248	225	128	218	194
20	401	476	515	480	581	461	327	463	399
25	786	910	839	755	858	754	692	928	789
30	1170	1298	1289	1222	1259	1154	936	1300	1139
35	1681	1835	1794	1716	1574	1526	1313	1848	1498
40	2209	2331	2360	2210	2053	1887	1584	2252	2004
45	2667	2865	2805	2726	2500	2380	1911	2692	2364
50	3089	3352	3416	3259	2953	2849	2202	3089	2803
55	3517	3708	3870	3831	3391	3295	2565	3586	3182
60	3899	4133	4425	4395	3822	3818	3028	4024	3679
65	4230	4470	4868	4832	4205	4247	3258	4476	3973
70	4715	4976	5337	5295	4652	4682	3651	4854	4339
75	4945	5446	5649	5650	5047	5178	4056	5155	4698
80	5374	5761	6151	6125	5561	5468	4371	5614	5022
85	5939	6384	6600	6505	5884	5836	4732	5793	5271
90	6295	6764	6973	6948	6432	6060	5167	6163	5584
95	6638	7189	7358	7258	6892	6485	5523	6428	5843
100	7116	7733	7773	7630	7201	6906	5734	6514	6039
