0	-56	-55	20	3	8	17	93	26	-5
5	-109	-34	-9	31	16	44	106	56	39
10	-8	9	61	53	79	32	129	92	64
15	35	111	189	177	165	154	335	182	185
20	195	297	443	358	371	370	607	378	434
25	366	595	698	696	603	599	1072	692	717
30	649	770	989	1012	882	916	1394	919	961
35	1035	1108	1322	1411	1231	1320	1893	1287	1272
40	1444	1391	1598	1802	1604	1590	2191	1506	1506
45	1860	1729	1963	2084	1959	1989	2583	1839	1830
50	2248	2084	2263	2471	2329	2462	2821	2053	1915
55	2493	2398	2452	2813	2783	2807	3113	2246	2173
60	2880	2795	2830	3220	3265	3171	3462	2540	2472
65	3035	2970	3007	3556	3571	3539	3752	2748	2677
70	3376	3193	3250	3780	3843	3893	3884	3033	2862
75	3582	3486	3451	4114	4165	4252	4060	3286	3153
80	3735	3733	3707	4458	4406	4479	4330	3547	3287
85	4027	4048	3897	4696	4662	4766	4480	3700	3558
90	4255	4247	4039	4993	4980	5098	4707	3936	3663
95	4390	4524	4220	5176	5157	5197	4799	4139	3911
100	4533	4693	4384	5432	5316	5534	4948	4373	3936
